"";"Review Date";"Review Rating";"Review Title";"Review Body";"Restourant Name"
"12";2018-05-15;40;"What an interesting experience!";"The experience of eating here is surreal and amazing. Our host Rada was excellent and attentive and really made us feel comfortable. The only thing that I found a little difficult was not knowing at least vaguely what the food would be... or at least...More";"DiningInTheDarkKL"
"13";2018-05-11;50;"The best of all restaurant in KL";"It's a very special place I guess, unique experience, different food thoughts.First time I tried it, bit scared at the fist, but it was easier than I thought. We had a very good conversation without the gadgets.A fun experience, must try when you are in...More";"DiningInTheDarkKL"
"14";2018-05-11;50;"Good ambience and food...";"I head about thia Restaurant through my friends, thought of trying it out... The ambience,service and food is very good... A definitely Must try in kl...";"DiningInTheDarkKL"
"15";2018-05-07;50;"An unforgettable and unique experience";"Decided to give my fiance an unusual treat on his birthday by bringing him here. I've read all the great reviews here beforehand and the experience lived up to my expectations. It took awhile to get used to the pitch dark environment and a lot...More";"DiningInTheDarkKL"
"16";2018-05-06;50;"A yummy and unique experience.";"We loved this experience. The food was great. Our waiter Yous (probably not how it's spelt) was amazing. We had booked and prepaid for 6 people but one of them was not able to come as a storm had blocked her access. They refunded her...More";"DiningInTheDarkKL"
"17";2018-05-05;40;"A special birthday celebration";"A very odd and unusual experience but one I would highly recommend. It is hard to comprehend just how dark the room truly is. Walking in I was terrified that someone had painted over my eyeballs, however our guide A.K was fantastic. He sat us...More";"DiningInTheDarkKL"
"18";2018-05-02;50;"Fantastic experience";"Fantastic sensorial experience, and actually also good food and wine. dining in complete darkness challenge your abilities first, but then force you to focus much more on food, drinks and on the companion. service/assistance is excellent";"DiningInTheDarkKL"
"19";2018-04-27;50;"Fun night and good food!";"For those feeling like a food adventure, this is a great time! The food is really, really good. I did the vegetarian meal and my husband did the non-vegetarian meal....we loved both. Make no mistake about the environment, it is pitch black. You can't see...More";"DiningInTheDarkKL"
"20";2018-04-27;40;"My SENSE-sational Moment";"I went to the Dining In The Dark KL with my 10-year old daughter. I made the reservation few hours before that, through phone. The place is in a ""tourist area"" with lots of bars, cafes and massage parlours; and very near to Lot 10....More";"DiningInTheDarkKL"
"21";2018-04-24;50;"How do they do it....";"It was a great experience, served by blind servers and the whole experience is in pitch black, still wondering how they do it so prefect. Detailed explanation, excellent service and food. It was much more easier than I thought.";"DiningInTheDarkKL"
"22";2018-04-24;50;"Awesome service";"Nicely thought and well presented dinner experience, we had a wonderful experience in dining in the dark.Service was sincere and food was good. Must try experience.";"DiningInTheDarkKL"
"23";2018-04-24;50;"best dining";"We had such a great time in dining in the dark. Don't want to reveal a lot, as there will be no surprise for you, all I can say is, its defenetly worth a try, everything was good about that place. Good service from the...More";"DiningInTheDarkKL"
"24";2018-04-23;30;"Something New";"Good to experience for a usual dining in a resto, one of a kind but not for a second time, I didn’t enjoy much as I’am starving when my boyfriend surprised me for our anniversary here, total darkness awaits you, no music at all and...More";"DiningInTheDarkKL"
"25";2018-04-21;40;"Expérience it";"Never had this kind of experience. when you have to guess what you eat and find what it is it becomes even beter !";"DiningInTheDarkKL"
"26";2018-04-19;50;"Fantastic experience and lovely food";"I just loved everything about the Dining in the Dark experience. My friend and I arrived for our 8pm booking and were met by a most delightful hostess who explained the process and took our vegetarian and classic preference, you can indicate if you are...More";"DiningInTheDarkKL"
"27";2018-04-17;50;"Absolutely Beautiful";"Me and my girlfriend always wanted to try this, since we have met we discussed about going to such a restaurant but we were dragged down a bit by the very high prices for this experience in our country, Italy. So when we found out...More";"DiningInTheDarkKL"
"28";2018-04-17;50;"Beautiful Valentine's Day";"The best place to dine in.. Learnt a lot about the life of a deaf and mute person in that 1 1/2 hours.. Extraordinary waiters.. Super delicious meals... Friendly staffs...";"DiningInTheDarkKL"
"29";2018-04-16;50;"The Mysterious and unique experience";"Dining in the dark! The mysterious and unique experience. The staff are friendly and create some small talk, playing games and smiling a lot to get us relaxed before the mysterious darkness dinner experience. Our guide Marcus was awesome. I love the idea that they...More";"DiningInTheDarkKL"
"30";2018-04-16;50;"Would go again!";"We booked this online before arriving in Kuala Lumpur. It’s easy to find and the staff are wonderfully welcoming and charming from the second you arrive. You receive a welcome drink to try and decipher and a few blindfolded tasks to get you ready for...More";"DiningInTheDarkKL"
"31";2018-04-14;50;"Unforgettable Experience";"So glad we decided to dine here, it really is a dining adventure. Our host and waiter were fantastic -accommodating with any dietary requirements and really put us at ease. The food was tasty and it was really fun trying to work out what we...More";"DiningInTheDarkKL"
"32";2018-04-14;50;"Wow!";"What an incredible experience! The professionalism of the staff is wonderful, the blind wait staff take you to your seat and help you through the experience - they are better wait staff than sighted staff, they are attentive, ask you what you need, and on...More";"DiningInTheDarkKL"
"33";2018-04-11;50;"Must do in KL!";"Really fantastic and unique experience! Great food (beyond just the experience itself the food on it's own is a highlight), value for money and really friendly staff (most of whom are either fully or partially blind). We had never done anything like this before and...More";"DiningInTheDarkKL"
"34";2018-04-08;50;"Taste the foods with ur tongue";"Don't eat the foods with ur camera & eyes. Taste them with ur tongue !! Glad to hv this unique experience to hv the meals with my brother in a dark environment. U see nothing but u will be amazed by how ur sense work....More";"DiningInTheDarkKL"
"35";2018-04-05;50;"Black as ink";"A fasinating experience and highly unusual this was definitely a unique dinner. Visual aspect of food is highly important to any sighted person as part of our five senses, so to try to eat and know what you are doing, eating, identify your food by...More";"DiningInTheDarkKL"
"36";2018-04-03;50;"Best dining experience I’ve had in a long time";"After being late due to traffic (when it has been raining in KL everybody travels by car) and spend an hour in a teksi, we walked the last 800 meters. We where guided into the experience by very nice staff members. After the explanation we...More";"DiningInTheDarkKL"
"37";2018-04-02;40;"interesting experience!";"good dining experience all together! being guided by the team for your dining experience, the food is not bad, should give it a try! different way if you would like to surprise your partner for example! a place in the city~More";"DiningInTheDarkKL"
"38";2018-04-02;50;"pleasant surprise";"I was brought here for a surprise. guess what? double surprise! the food was all amazing, staff were friendly, setting was nicely done. there were customers from next table kept talking and loudly using the cutleries, but we understand that was uncontrollable to the team....More";"DiningInTheDarkKL"
"39";2018-03-26;50;"Awesome experience, conquered the darkness finally !!";"I m extremely pleased with the staffs as well as with their services. It's really worth the $$. It was my brother's pre birthday dinner and he enjoyed the experience.More";"DiningInTheDarkKL"
"40";2018-03-26;40;"Very interesting experience!";"Was somehow quite nervous because I had no idea what to expect and how I was gonna be in the dark. But Jason the guy who works there gave us a very good briefing and Yus, the lovely guy who served us was lovely. The...More";"DiningInTheDarkKL"
"41";2018-03-26;50;"Wow wow and wow";"My husband and I dined at this restaurant on my birthday. It is a one of a kind experience and I highly recommend it to anyone travelling in KL. The food was delicious and plentiful. You feel welcome as soon as you enter and they...More";"DiningInTheDarkKL"
"42";2018-03-26;50;"Awesome dinner!";"Great dining experience in the dark and great service from the team. Thank you for the effort to make us surprise for my bf's birthday dinner.More";"DiningInTheDarkKL"
"43";2018-03-26;40;"Interesting dinner but way too noisy";"Went there on a Saturday night, the staff is very friendly and our guide Marcos is excellent. It was fun to guess what our courses were. The only downside is that the place was probably overpacked judging by the noise levels. There was a large...More";"DiningInTheDarkKL"
"44";2018-03-26;50;"Appreciate your senses";"Meal was great, many different tastes too. Total darkness, bit anxious at first but we got comfortable after few mins. Senses also heightened. My family loved it. The host Jayson and our guide/server Marcos were wonderful. They explained clearly and the hospitality by the staff...More";"DiningInTheDarkKL"
"45";2018-03-25;50;"Dinner";"Great Visit!! Absolutely worth a try. Not too expencive. I need some more words here, so here you go. Nice visit.More";"DiningInTheDarkKL"
"46";2018-03-23;50;"Unforgettable experience";"Friendly reception. Excellent waiter. After We were led into the total darkness at first I was a bit nervous, but our waiter really did a great job to guard us and slowly I could relax. The food was very delicious. It’s an unforgettable experienceMore";"DiningInTheDarkKL"
"47";2018-03-21;40;"Good place to dine";"This place is just an amazing place to dine in kuala lumpur , good food and good ambiance is the real goodness here";"DiningInTheDarkKL"
"48";2018-03-21;50;"Really very Dark";"I was expecting some light, but no luck.It was completly dark.Bit of surprise and we didnt know what we were eating, it was good food and a great experience, the staff are very entertaining and kind. Must try atleast once, you wont be dissapointed.";"DiningInTheDarkKL"
"49";2018-03-15;50;"Mr";"Great experience Would recommend to anyone. Great food quality also! You will not be able to see for the entire time. Very funny.";"DiningInTheDarkKL"
"50";2018-03-14;50;"Done it atlast";"Been to the place last week on our company dinner.Wanted to try this place for a while, i am glad i did it. Every thing went very well, friendly staff, warm welcome, well entertained and good food.Very good place for team biulding, offcourse for family...More";"DiningInTheDarkKL"
"51";2018-03-14;50;"Something Different";"We are still talking about our dining experience, we all loved it! So unique and well executed. The food was really good too. We would highly recommend Dining in the dark. The staff was great and the drinks well made.";"DiningInTheDarkKL"
"52";2018-03-08;50;"Great for a blind date";"There is a great difference to average dining and the experience that is unique memories. The atmosphere is electric but subtle, food that will dance on your taste buds and service that will have you coming back. An experience for the most selective palate and...More";"DiningInTheDarkKL"
"53";2018-03-06;50;"Wonderful and unique dining experience";"This was the most interesting dining experience we've ever had. I am vegetarian and I do not eat dairy - they were able to accommodate this with ease. They could also accommodate vegans. The food was good, but you are definitely paying for the experience...More";"DiningInTheDarkKL"
"54";2018-03-05;50;"Surprisingly delicious meal with an extra exciting experience!";"My husband and I were shocked as we didn’t expect the food to be that good. We were led into a pitch black room and sat down by our waiter, taught how to grab our glass of drink without knocking the glasses over and then...More";"DiningInTheDarkKL"
"55";2018-03-05;40;"Good experience";"Nice tryout for blackout dining experience, food is decent and ppl are very polite. But nicest thing for me is blank out your mind (and Hp) and experience dining without distraction";"DiningInTheDarkKL"
"56";2018-03-04;50;"Great evening";"Everything about this was brilliant. And we are still talking about it so much. It's a real experience but the restaurant make everything calm and exciting.";"DiningInTheDarkKL"
"57";2018-03-04;50;"Birthday celebration with unique experience";"Unique experience. Dining in complete darkness. Food was so delicious. Yus who guided us inside the dining area, gave us the confidence that we are doing fine.";"DiningInTheDarkKL"
"58";2018-03-04;50;"Dim Sum Buffet";"Sheraton Imperial Kuala Lumpur, the All-Eat You Can dim sum with Chinese Cuisine is a Must Try for every one .";"DiningInTheDarkKL"
"59";2018-03-02;50;"Unbelievable experience";"Went with four friends and we all had a very unique meal. You are led into a pitch black room, no lighting and you walked in with your hands on the person in front shoulders as you made your way to your table . Our...More";"DiningInTheDarkKL"
"60";2018-03-02;50;"A must have experience";"Very nice food and great hospitality staff This place is definitely one of the best restaurants i’ve ever been to in my life";"DiningInTheDarkKL"
"61";2018-03-02;50;"Blinded by the dark";"After a little ""warm up"" we started with the course. There are several plates for each of the courses. The waiters are blind and guide you kindly through your dinner. They answer any questions. After some time we started to pay attention to different senses....More";"DiningInTheDarkKL"
"62";2018-02-26;50;"incredibly done";"we've done dining in the dark in a few cities and this experience exceeded those by miles....From the minute you arrive, the staff provide excellent service and are extremely informative about the entire dining process. Our server Rada was especially a treat to have in...More";"DiningInTheDarkKL"
"63";2018-02-26;50;"Sweet and fantastic night";"I been there on Valentine day and the staff service is excellent and fun. It deliver us a totally different dining experience in which I cannot elaborate further in words. Most important, I had my proposal to my gf that night and it was a...More";"DiningInTheDarkKL"
"64";2018-02-24;50;"Really cool experience";"We honestly didn't know what to expect coming into this dinner, but we walked way with smiles on our faces, full bellies, and unforgettable memories. Management has the experience down to a science. There are no blindfolds, just pitch black darkness! It was a lot...More";"DiningInTheDarkKL"
"65";2018-02-24;50;"Really pleased we tried it!";"I wasn't sure what to expect but throughly enjoyed the experience. The food was excellent and made you realise how reliant we are on our eyes. Great food and service, try it you might be as pleasantly surprised as us.";"DiningInTheDarkKL"
"66";2018-02-19;50;"Amazing";"We had a great experience here and was a really fun and unique way to spend an evening. After a warm and friendly welcome we were treated to a welcome drink and a ""warm up"" of our senses. For the meal itself we were lead...More";"DiningInTheDarkKL"
"67";2018-02-19;50;"Must go";"This restaurant is a invite to your senses. You have dinner in a darkness atmosphere. I loved the experience and recommend for everyone how loves different things.";"DiningInTheDarkKL"
"68";2018-02-17;40;"Very daunting experience....";"Did not quite realise the dining is in complete darkness-the photos on tripadvisor were somewhat deceiving. The experience of losing your sight for the dinner was quite intimidating and daunting to say least. The evening was made special by our waiter whom provided service of...More";"DiningInTheDarkKL"
"69";2018-02-17;40;"Dining in the dark experience";"When I first told my partner about this, his reply was, 'isn't the same when there is no electricity? By surprise, he took me there for Valentine's day. It was a unique experience as we realise we depend a lot on our sight to know...More";"DiningInTheDarkKL"
"70";2018-02-16;40;"Interesting Experience I Won't Forget";"Imagine eating your dinner completely in the dark. It really makes you appreciate the food, the environment, the sounds, the smells and awakens your senses. I think this is a very good to excellent experience from check-in to check-out (which was the least memorable part)....More";"DiningInTheDarkKL"
"71";2018-02-15;50;"Unique experience";"Booked the place during Valentine's Day as my husband wanted me to surprise him. It turned out that it was a surprise for me too. I came without much research so I didn't know what to expect. It was a lovely experience. Nice food and...More";"DiningInTheDarkKL"
"72";2018-02-15;40;"A great and worthwhile experience";"This is an experience more than a meal out. You are in complete darkness for the entire meal and all staff are blind. They help you understand how to cope in a world without vision by guiding you through the process of moving around, pouring...More";"DiningInTheDarkKL"
"73";2018-02-14;50;"Unique personal experience & Great customer experience!";"It was a great dining experience to us, guided by our blind guide - Randa in absolute darkness! Don't worry about the darkness, once you are in the dining area, you will hear chatting and laughter all around.";"DiningInTheDarkKL"
"74";2018-02-12;50;"Very interesting dining style";"Found out about this place through random browsing while I was doing some research for Valentine’s dinner. Read through the reviews and none of them are bad actually. So I decided to give it a try. Make a reservation through an app, it’s quite convenient....More";"DiningInTheDarkKL"
"75";2018-02-11;50;"Highly Recommend";"Definitely need to try once. Nice idea for us to experience the world of blindness. Respect to them.";"DiningInTheDarkKL"
"76";2018-02-10;50;"Great ExPerience!";"Must visit for at least once. The servers are friendly and our host Marcus is very nice. He is from Sarawak and he shared with us some destinations we must visit over there ... sound like a good tips from him. Not to mention the...More";"DiningInTheDarkKL"
"77";2018-02-08;40;"Dining Experience worth experiencing";"I was quite skeptical about this place initially as I thought it is just dining while being blindfolded. I was definitely wrong on that. When we arrived, we were given a bowl of grains with paper clips inside. We were blindfolded and asked to pick...More";"DiningInTheDarkKL"
"78";2018-02-06;50;"Birthday treat";"We came here for my birthday and they made us so welcome. This is a treat for the senses and trying to guess what we were eating had us in fits of giggles. Our guide was fantastic (I wish I could remember his name!) and...More";"DiningInTheDarkKL"
"79";2018-02-05;40;"Different feel to Dining!";"Went there for my son’s 10th birthday. It was fun, it was different, it’s worth at least a once in a lifetime visit!";"DiningInTheDarkKL"
"80";2018-02-04;50;"Great Sunday evening";"Went here, and was a bit apprehensive. My worries were put at ease by the host and the waiter. What a great meal, the darkness just made it all the more special. Recommend this for a special meal.";"DiningInTheDarkKL"
"81";2018-02-04;50;"What a experience!!";"All the waiters are blind or vision impaired. I didn’t have any expectations or thought as to what it would be like and that was great. I was worried I would be scared by sudden noises of staff but they constantly are making noises so...More";"DiningInTheDarkKL"
"82";2018-02-01;50;"Fabulous experience";"A fun and somewhat unsettling experience. Greeted by a friendly staff member and a drink to open the palate. Had to guess its flavours. We then played a short game and led into the restaurant. The whole experience was quite sensory, it was a lot...More";"DiningInTheDarkKL"
"83";2018-02-01;50;"Great fun";"Was my partner's idea and it seemed like a gimmick to me but I actually enjoyed the experience so much.";"DiningInTheDarkKL"
"84";2018-01-30;50;"Out of this world experience, and decent food";"I must admit that the thought of eating totally in the dark was a novelty idea, but when we did it, I was a little bit nervous for the first minutes. But the server we had was excellent - I guess they all are -...More";"DiningInTheDarkKL"
"85";2018-01-30;50;"Amazing experience";"The restaurant is pitch black and you would not be able to see anything. Most of the wait staff are visually impaired and you experience the dining experience from their 'view'. Food is good and the experience even better. Helps you block out all other...More";"DiningInTheDarkKL"
"86";2018-01-29;50;"A must try!";"Wonderful experience. The food was good, the service was even better and the overall experience was certainly worthwhile and hard to forget. The dining room was pitch-black, but everything was well organized and the servers really made us feel comfortable. They don’t serve anything too...More";"DiningInTheDarkKL"
"87";2018-01-28;50;"Unique and different";"Visited the place only recently, even though I know the place for quite sometime.The reception and the Service was excellent. Guides (your server) has done a great job. Must try to feel it. Overall a great dinner experience.Try it to feel it";"DiningInTheDarkKL"
"88";2018-01-22;50;"Awesome experience";"It's such a awesome experience that you get to feel like a completely blind person... Got touched by it... All depends on senses and touching on the table or surroundings... I really feel blessed for what I have right now... Makes me think and have...More";"DiningInTheDarkKL"
"89";2018-01-20;40;"Confusing but fun";"It was a total sensory experience. Unfortunately I dropped half my food on the table or floor. The service is excellent but the menu could be improved. Some of the dishes could be simplified to make it easier to eat and comprehend what you are...More";"DiningInTheDarkKL"
"90";2018-01-19;50;"Amazing experience shows how lucky we are";"I started off feeling very nervous. When I read reviews that it was dark in there. Dark means dark. You literally are in pitch black with not a single trace of light. At first I felt a little nauseous but after ten minutes of getting...More";"DiningInTheDarkKL"
"91";2018-01-18;50;"AMAZING";"The meal was absolutely incredible. I had the vegetarian option and was served a 14 course meal in 4 different stages. Of course it was a bit scary to be in the restaurant at first but after a while it was exciting and comfortable. Our...More";"DiningInTheDarkKL"
"92";2018-01-17;50;"You cant hold a candle to it";"Simply one of the most amazing dining and sensory experiences you can have. Having taken my girlfriend there,we were both blown away by the service. I admittedly assumed the food would be subpar and the whole thing rather gimmicky, however i was pleasantly surprised. The...More";"DiningInTheDarkKL"
"93";2018-01-16;40;"Awesome Experience, worth a try in your life!";"I'm a person that afraid of the dark but, when I'm inside, and i hear voices of everyone surrounding me, i feel comfortable with the dark. So it is not as scary as i first taught it was. The food arrangement is quite good as...More";"DiningInTheDarkKL"
"94";2018-01-16;50;"Amazing Experience";"Dining in the dark was an extraordinary experience! Totally black. I couldn't watch anything . I noticed that I could smell fragrances. And every dish was also so delicious, We had to guess what each dish contained. We were delighted at the end of the...More";"DiningInTheDarkKL"
"95";2018-01-16;50;"Definitely worth a visit.";"This restaurant offers a really interesting dining experience. Eating in pitch darkness, with your phone locked in a cabinet (so you can't use it for light) makes for a really great opportunity to experience what life might be like if you were visually impaired. The...More";"DiningInTheDarkKL"
"96";2018-01-14;50;"""A different world""";"Had an Amazing experience and so meaningful in a way. Learned to really taste my food, touch and feel it and go with the flow. I'm a picky eater but after this I learned to try everything. Beside the experience they have amazing staffs and...More";"DiningInTheDarkKL"
"97";2018-01-12;50;"Totally unique experience";"Definitely a must try experience. While I didn't love some of the foods, I am a self proclaimed picky eater and not eating with my eyes got me out of my comfort zone and I was surprised at the end when I saw the menu...More";"DiningInTheDarkKL"
"98";2018-01-11;50;"Feeling Great In The Dark...";"Dining in the Dark..really it was pitch black, can't see anything, but we managed and had lots of fun, excellent service by all the staff. Very friendly atmosphere.Try it out to open your senses.";"DiningInTheDarkKL"
"99";2018-01-09;50;"Good place for a change.";"theme ""Dinning in the DARK"". Great food there and service. Suspend on the taste of the food and upgrade wines will bring you extra spice in the dark. Come and experience it yourself.";"DiningInTheDarkKL"
"100";2018-01-07;40;"Worthwhile for the experience!";"Had my anniversary dinner here and it was such a lovely experience! The menu changes several times a year and when we were there (Jan 2017) they were serving the last of the Christmas menu. Food was nothing much to shout about tbh, but the...More";"DiningInTheDarkKL"
"101";2018-01-05;40;"Pitch Black";"It’s not every day you experience eating in complete darkness. Very cool and unique and the food was just as interesting. Completely or partially blind waiters guide you through the restaurant and seat you then explain the dining experience. Afterward you guess what you ate...More";"DiningInTheDarkKL"
"102";2018-01-03;50;"It’s a must try";"If there any special occasion it’s a must go because it’ is so special in a way I can’t explain ,good service , good food .";"DiningInTheDarkKL"
"103";2017-12-31;40;"Dining in the dark";"If you wish to have something different and feel you may this this.Please feel relax just imagine how blind people need to eat without can see any.they will ask you to left all your belongings in the locked box.Mobile phone are not allowed.you will eat...More";"DiningInTheDarkKL"
"104";2017-12-30;50;"Unique experience, would definitely recommend it :)";"I've heard of this concept back in Europe and finally found it here in KL. The experience was just awesome, we couldn't stop smiling like little kids and laughing from every little detail. From the beginning where they give you a few games to awake...More";"DiningInTheDarkKL"
"105";2017-12-30;50;"Excellent dining experience";"Been a wonderful experience as a whole, its a total package of mystery, excitement and fun. we enjoyed it thoroughly, warm reception, happy staff, excellent service and good food.";"DiningInTheDarkKL"
"106";2017-12-28;50;"wierdest place i've ever eaten - a must do";"Can't describe the experience, other than just mad!. My 13 year old daughter loved the experience but hated the food which despite being described as western was not - but wanted to go again the next night as it was such a fantastic and different...More";"DiningInTheDarkKL"
"107";2017-12-26;50;"The most bizarre eating experience ever";"This restaurant is a unique bizarre experience. Everything is pitch black, I mean absolutely no light at all. We were led to our table by blind waiters, sat at a table and delivered 4 courses over about 2 hours. We had no idea what we...More";"DiningInTheDarkKL"
"108";2017-12-25;50;"Extraordinary";"The best Experienced for eating in the dark with extraordinary culinary arts which you could only using your 4 out of 5 senses but completely satisfied and enjoyed what was happening in there. Thank you very much for the friendly staff and the 5 star...More";"DiningInTheDarkKL"
"109";2017-12-22;30;"Cat and Mouse game";"The concept of this restaurant is about dining & roaming in total darkness. The food is average tasting and to go and dine here one has to change their mindset to come prepared for the new experience. It is interesting if you are the playful...More";"DiningInTheDarkKL"
"110";2017-12-22;50;"Tingle those tastebuds differently";"First time experience. It was really a great experience i had with my friends. Cant really tell the ambience, since its pitch dark, but you’ll get around well in there navigating through tables and others like a choo choo train guided by the expert waiters/waitresses....More";"DiningInTheDarkKL"
"111";2017-12-22;50;"GREAT EXPERIENCE";"Food was delicious, although there are things I don't like, I ended up liking them after dining in the dark. The environment was very calm as there were no distractions (away from the phone), able to talk to friends and focus on the good food....More";"DiningInTheDarkKL"
"112";2017-12-22;50;"BEST EXPERIENCE EVER!";"This is one of the best dining experience i had in my life! The food was perfect, good service and most memorable experience. Try this at least once if your lifetime and you will never regret it! P/S: Shout out to Markos for the great...More";"DiningInTheDarkKL"
"113";2017-12-22;50;"Just go for it";"There is a lot to say about this place, but cant say everything as it might break the surprise. It was wonderful from starting to the end, Service was amazing, food served according to your food allergy. Don't worry about the dark, you get used...More";"DiningInTheDarkKL"
"114";2017-12-22;50;"You eat with your eyes more than you think!";"Most people's experience of dining in the dark would be during a power outage. This is nothing like that! You wait in the reception area with a little puzzle to start with - you are blind-folded and tasked with finding 4 paperclips in a container...More";"DiningInTheDarkKL"
"115";2017-12-19;50;"Close Your Eyes, Enjoy the Food";"This is definitely mandatory for anyone visiting Kuala Lumpur especially Bukit Bintang area. Located in the most crowded street in this area, this restaurant offers a totally different atmosphere and experience. Since my apartment id located not far from this street, I always past this...More";"DiningInTheDarkKL"
"116";2017-12-13;50;"AMAZING EXPERIENCE at Dining in the Dark KL";"I had such an awesome time with my experience at Dining in the Dark. I made a last minute decision after a friends recommendation to come here on my last night in KL. I had heard of Dining in the Dark in other cities but...More";"DiningInTheDarkKL"
"117";2017-12-13;40;"Very calming";"Good experience dining in total darkness. Leaves you with nothing to think about but talk and eat and appreciate your eyesight. Food was nothing to shout about, good food is not just taste but sight too. Should go experience it at least once";"DiningInTheDarkKL"
"118";2017-12-12;50;"Awesome experience!!";"This was such a fun evening! Highly highly recommended. Don’t let a fear of the dark put you off! The whole experience is very well thought out, and the food is delicious too ☺️";"DiningInTheDarkKL"
"119";2017-12-10;50;"A very unique experience";"We had to go into the dining area without any of our belongings - even our watches. It was a bit chilly though, so for those who are afraid of the cold, I would suggest a light jacket or a shawl. It was total darkness,...More";"DiningInTheDarkKL"
"120";2017-12-09;50;"What an amazing experience";"Don’t go if you are afraid of the dark! I have never been in such a dark place. The waiter / guide Yus, was a gentle sole who led us to our table and served our meals, explaining everything as we went. Yus lives in...More";"DiningInTheDarkKL"
"121";2017-12-08;40;"Savour the Darkness!";"Reception was friendly, immediately made us feel welcome. Our 6 year old was very much at eased as we were served the welcome drinks and guessing the concoction of It. Once our table was ready we were introduced to our Darkness Expert, Yus. Food was...More";"DiningInTheDarkKL"
"122";2017-12-07;50;"Amazing!";"Such a great experience! The food is... ok. If you're a serious foodie like me you're going to be a little disappointed. But you're not here for just the food, its about the experience. It would make a really great date, because you are required...More";"DiningInTheDarkKL"
"123";2017-12-07;40;"Great Place";"Very impressed with the concept of restaurant.both of us happy ,food and service was good.most important ambiences is nice";"DiningInTheDarkKL"
"124";2017-12-05;40;"Great experience, average food";"The experience itself was once in a lifetime, and it was really interesting and a great new dinner experience. However, the food itself was very average and quite honestly, tasted like it came out of a can. I would say come one time for the...More";"DiningInTheDarkKL"
"125";2017-12-04;50;"Great Experience";"A bit pricey but worth every dime. Good food, friendly staff and beautiful deco (at least before dinner). A must try if you haven't done so.";"DiningInTheDarkKL"
"126";2017-12-02;50;"A special event";"We went here last week and unfortunately due to an upset stomach, had to leave. The team were helpful and got us a taxi, so we booked in a week later. We were sat in the dark by our waiter and it really is darker...More";"DiningInTheDarkKL"
"127";2017-11-30;50;"A unique family night out to celebrate my 37th wedding anniversary...I am so blessed.";"Had a wonderful evening with my dear wife and my girls....Dining in the Dark is a unique experience... As you are all in total darkness ...it brings out the ""Togetherness"" , You have to speak out to each other in order to sense your presence....More";"DiningInTheDarkKL"
"128";2017-11-29;50;"Amazing!";"The experience was really amazing, was our first time dining on the dark and we felt very confortable and our waitress Marcos was very helpful in all moment. They change the menu every three month and we hope to come back again! Thank you very...More";"DiningInTheDarkKL"
